userName,score,at,content,sentimen
Dwi Dwi,1,2024-12-31 23:53:48,"Di iklan sm kenyataannya beda bunga ny 100% bner"" mencekik pinjam 5jt blik 9jt",Negatif
Isran 123,1,2024-12-31 23:18:17,baik,Negatif
Helmi Yahya,4,2024-12-31 22:36:24,"kenapa yaa dari semua platform pinjaman online saya di tolak terus padahal saya belum pernah meminjam apapun, semoga easy cash bisa membantu.",Positif
sephints,5,2024-12-31 21:27:08,"pengajuan cepat dan gak ribet,ngebantu banget...",Positif
Sandy Aziz,5,2024-12-31 21:05:45,Bagus 👍 walau limit kecil tapi seiring kita membayar dengan tepat waktu limit bakalan bertambah. (Review jujur bukan orang dalam atau agen)😁✌✌✌,Positif
dheny andayani,1,2024-12-31 20:58:20,bunga terlalu tinggi,Negatif
Aditia Himawan,1,2024-12-31 20:48:21,jelas easy casc tidak membantu. dengan bunga yang tinggi... easy cash asu,Negatif
jiun juan,5,2024-12-31 20:46:27,Kasi tenor 12 bukan dnk,Positif
GOT• FZ,1,2024-12-31 20:07:41,tolong saya ingin menghapus akun,Negatif
Adhitya Estu,1,2024-12-31 19:55:07,"Bayar lancar, udh selesai, giliran mau pinjem lagi malah ditolak. Kocak",Negatif
ANTON,5,2024-12-31 19:31:57,best,Positif
Ryan Surya,5,2024-12-31 19:30:19,good,Positif
Arie Muhidin,5,2024-12-31 18:31:38,mudah dan sangat membantu,Positif
Mahmudin Udin,4,2024-12-31 18:12:46,coba dulu,Positif
Rizki Riski,5,2024-12-31 18:05:03,TERBAIK,Positif
Endang Setiyawati,1,2024-12-31 17:55:23,Bintang 1/2 gak ada. 1 aja kl gitu. Easy cash saya sdh email cs anda cc ke afpi bahwa saya TIDAK BISA MENGHAPUS AKUN saya. Saya tdk ada pinjaman sepeserpun disini. Hapus akun saya.! Be aware.daftar akun mudah keluar dari akun dipersulit.Bahkan alasan nya lucu karena kita masih ada limit gratis jd kita tdk bisa hapus akun😄 dan akhirnya solusi diminta hapus akun manual.Padahal ini fintech semua hrs via apk.akhirnya bisa hapus setelah ganti hape tp otp ke hp lama. Ribet.Ok Saya sdh Zero Debt ya.,Negatif
Theresia Dewy,5,2024-12-31 17:38:36,Prosesnya sangat cepat . pokonya besstttlah,Positif
Jordy 321,1,2024-12-31 17:32:23,Yah sebenernya saya juga yang slah telat 2hari terus mau ngajuin lagi di tolak terus mau hapus akun juga gak bisa,Negatif
Riski adi,3,2024-12-31 17:28:55,Semoga di setuju i,Positif
arifin mawon,5,2024-12-31 17:12:45,ok banget,Positif
Lukman Ahong,1,2024-12-31 17:00:49,Cuma saran aja kalau bisa jangan sampai kalian daftar dieasycash percuma cuma diminta data diri tpi waktu pengajuan pinjaman ditolak katanya belum layak ini apk abal2 cuma penipi,Negatif
Edi BY,5,2024-12-31 16:51:06,"Easy Cash, sebuah Platform Digital Marketing Pinjaman Online yang sangat profesional dan membantu masyarakat yang membutuhkan Dana darurat dalam waktu singkat.. Terima Kasih atas Supportnya .. Regards Edi BY",Positif
ilyas mahindra,2,2024-12-31 16:37:52,Limit yang tidak jelas,Negatif
Jay Ruangqamee,3,2024-12-31 16:05:16,Lumayan bagus,Positif
Fn Waitera,1,2024-12-31 15:58:52,"Jangan pake apk ini Ketika anda memiliki kendala pembayaran, tim mereka akan meneror dengan telpon yg ga ngotak waktunya Aturan undang2 buat mereka ga ada artinya,jam 12 mlm msh di spam telpon Gila gila Pengalaman terburuk dr smua apk pinjol,saran saya mnding pinjem di tempat lain",Negatif
Anik Susanti,5,2024-12-31 15:47:44,bagus,Positif
Asep Suryadi,1,2024-12-31 15:47:30,bunganya tinggi jangka waktu pendek dua tahun pinjam disini gak pernah telat sekali telat gak ada toleransi langsung mau kirim orang kerumah,Negatif
Andika Trinanda,3,2024-12-31 15:45:05,terimakasih emang benar2 bagus aplikasinya,Positif
Fitri Ani,1,2024-12-31 14:48:37,Jangan mau pinjol pokonya kalo ga mau di teror,Negatif
Muhamad akbar Akbar,5,2024-12-31 14:39:23,sangat bagus,Positif
Gambrank Tangkil,1,2024-12-31 14:21:25,Tolong bos hapus data data sya i karnakan saya tidak lolos mengajuan pinjaman easycah.di tolak,Negatif
Asan Zhank,5,2024-12-31 14:20:12,Kenapa saya tidak dapat meminjam lagi,Positif
Ummi Habibah,1,2024-12-31 14:15:24,"Cuma dpet limit 600, udh gitu pas coba Ngajukan pinjaman malah gagal padahal LG urgent butuh banget malah di tolak😤",Negatif
Ahmad Taufik,5,2024-12-31 14:14:33,bayar secepatnya,Positif
Riksan Ikhwan Nurlaya,5,2024-12-31 13:55:39,Sangat baik,Positif
moro Zhou,5,2024-12-31 13:51:30,baik,Positif
Restu My Chanel,3,2024-12-31 13:12:09,"Sekarang ribet mau pinjaman di sini,, sudah capek2 isi data ujung2 nya di tolak juga.. gk kaya dulu enteng pinjol di sini.. sekarang justru tambah ribet.. tolong jangan di persulit kalau mau ngasih pinjaman min.",Positif
Syukran Ganteng,5,2024-12-31 12:57:03,makasih apk easycash,Positif
Yu Ayubin2,3,2024-12-31 12:45:16,Limit saya tiba tiba hilang padahal saya tidak pernah telat bayar,Positif
Genta Pamungkas,5,2024-12-31 12:40:17,Good,Positif
hadi santoso,4,2024-12-31 12:33:46,bagus... ringan...,Positif
SYAHRUL RIZKY,1,2024-12-31 12:23:38,Haram,Negatif
Taupik Hidayat,5,2024-12-31 12:11:14,bagusss,Positif
Sugi Yantini,5,2024-12-31 12:11:01,Easy sy kasih bintang 5. Smoga kedepannya gx mengecewakan saya,Positif
Tomy Agus,5,2024-12-31 12:01:16,Luar biasa membantu,Positif
Natan Raffa,4,2024-12-31 12:00:47,bagaimana cara untuk menghapus data saya. udah tiga hari tp penghapusan blm di setujui juga,Positif
Obi Mikel,1,2024-12-31 11:58:27,Terlalu banyak spam telp terus,Negatif
Indra Wibowo,5,2024-12-31 11:04:43,Cara mereka menagih kurang sopan/lebih ke mengancam.kitanya lagi ngusahain buat bayar tapi terus terusan di ancam.kalaupun telat sininya pasti akan bayar dendanya juga.tapi ya di mengerti sedikit lah.,Positif
Dodi golden07,5,2024-12-31 11:03:15,sangat bagus sekali,Positif
Epih Epih,1,2024-12-31 10:55:24,Penagihan sangat kasar dan tidak sopan Telat 1 hari pembayaran,Negatif
Lyantri Lilies,1,2024-12-31 10:54:09,kenapa saya tidak bisa meminjam lagi? padahal sudah lunas lebih awal dan kenapa malah tidak ada limitnya sekarang,Negatif
Nur Rohim,5,2024-12-31 10:53:48,bagus,Positif
putra trakhir,5,2024-12-31 10:52:34,trimakasih atas pinjamannya ... saya akan amanah membayarnya ... aplikasi terbaik 👍,Positif
Oppo Apitulas,3,2024-12-31 10:48:16,tiga bintang dulu nanti kalau bagus Tambah 5 bintang,Positif
Zaenal Firdaus,4,2024-12-31 10:47:03,Knpa setelah saya lunasi ko limit nya tidak tersedia gimna sih. Padahal saya bayar blom jatoh tempo seling sehari langsung saya bayar. Knpa jdi limitnya tidak tersedi,Positif
Geraldo Aldo,1,2024-12-31 10:38:16,"Pembayaran bagus, sebelum jatuh tempo sudah lunas,pas mau pinjam lg ga bisa",Negatif
Saiful Hady,5,2024-12-31 10:27:21,"Bagus, bunga rendah dan sangat membantu kebutuhan.",Positif
Mu Anaz,2,2024-12-31 10:23:21,Kenapa saya tidak bisa ajukan pinjaman. Padahal kemarin2 bisa. Sekarang sudah gak bisa. Hutang ditempat lain juga gak ada. Anehhhh,Negatif
dwi wuri,5,2024-12-31 10:16:24,keren,Positif
Inlander Zey,1,2024-12-31 10:06:00,"Minjem kagak nelpon terus, ganggu aja",Negatif
Andika Dika,4,2024-12-31 09:59:13,baik,Positif
Ning Kurniawati,5,2024-12-31 09:45:22,good,Positif
Win Ndro,5,2024-12-31 09:39:07,ok,Positif
Bayu Rangga,1,2024-12-31 09:30:38,Yth kepada bapak/ibu Saya berharap menghapus data pribadi saya di aplikasi ini karna saya pinjam sekali itupun telat 2 hari dan sudah di bayar lunas begitu mau pinjam tidak bisa lagi mohon untuk kerjasamanya terimakasih untuk menghapus data diri saya berkas scan wajah dan juga rekening karna saya sudah tidak ada sangkutan dengan aplikasi ini,Negatif
Hamidun Doni,1,2024-12-31 09:18:43,Gak jelas,Negatif
Mtp Mj,3,2024-12-31 09:08:59,"Gilaaa awal2 bagus sih ini pertama bunganya ga terlalu ngecekik, kedua mulai deh bunganya ga seui pinjmn, telat sehari ditelfon teror Mulu, ketiga masa misal pinjam 3jt bunganya 1jt lebih buseeett ngeri tinggl 1 kali lagi pembayaran beberp ratus,hbis ini ga lagi pinjm2 deh udh kapok bunganya ngeriii😬",Positif
Gantika Wigantini Dewi,5,2024-12-31 09:07:44,limit nya harap dinaikan lagi,Positif
Hendri Darmo,5,2024-12-31 08:57:28,good,Positif
Ridwan Dion,5,2024-12-31 08:52:49,easycash sangat membantu,Positif
Vebry Prakoso,3,2024-12-31 08:44:30,3 dulu kalau cair saya kasih 5 bintang,Positif
Japar,1,2024-12-31 08:30:44,"Tolong hapus data saya .. krna pengajuan saya d tolak.. pengajuan di tolak terus.. jdi saya uninstall 🙏..jdi tolong hapus data"" saya krna pengajuan sya d tolak.. saat ini jg saya hapus",Negatif
Ahmad Fatoni,1,2024-12-31 08:25:28,"Nih aplikasi gua gajadi ngutang malah maksa spam"" anj",Negatif
putro negoro,5,2024-12-31 08:23:15,baru mencoba semoga dpt pinjaman,Positif
Ilham Rusdin,1,2024-12-31 08:09:20,Buruk,Negatif
Ady Supriadi,5,2024-12-31 07:28:33,mantap,Positif
Yusuf Ali,5,2024-12-31 07:04:40,mantap aplikasinya,Positif
Dzaki Adinata,3,2024-12-31 06:53:12,"Tolong perbarui lg .Easycash saya bayar slalu tepat wkt .limit sudah besar mau pengajuan lg malah gak lolos Pinjaman gmn itu ,dan tenor tingkat kan ke.12 bln .bunga Tolong jgn terlalu tinggi masak sampai ke 900.000 lebih hampir 1.000.000 ,perbulan pengajuan 10.000.000 .Tolong benahi",Positif
Anis Erminanti,1,2024-12-31 06:44:23,Udah cape2 ngisi data ga lolos verifikasi sengaja bgt apa nih data udah masuk tp ga lolos,Negatif
Nobertus Odom,5,2024-12-31 06:25:39,Luar biasa,Positif
Deki Yuganda01,5,2024-12-31 06:08:57,MANTAP,Positif
Andri Andrian,4,2024-12-31 05:40:49,terima kasih,Positif
Soegy Harto,1,2024-12-31 05:36:34,Oooooooooo limit berkurang jauhhhhhhhh ...bingung setelah lunas limit berkurang jauh,Negatif
Imran Dekape,5,2024-12-31 05:32:49,ok,Positif
Snap Style Studio,5,2024-12-31 05:25:28,Mantap aplikasinya bagus dan tidak ribet,Positif
Oppo A16,5,2024-12-31 05:25:12,sangat membantu,Positif
Aryawan Nurmansyah,4,2024-12-31 05:11:59,"Cepat cairnya ,sayang limit awal hanya 100*",Positif
Yosef Irwanto,5,2024-12-31 05:11:09,"untuk sekarang bagus sih, bunga juga ckup rendah",Positif
wahyu Hmz,3,2024-12-31 05:05:48,Gampang si pinjem nya tapi baru juga 2 hari belum juga tgl nya jatuh tempo udah banyak yang nelpon spam anehh ganggu aja,Positif
Agung,5,2024-12-31 05:04:29,ferry ferry good,Positif
Ikhlas Sul amal,5,2024-12-31 05:03:15,sangat cocok buat saya,Positif
Febri Dona Bk,4,2024-12-31 04:58:02,Tlongg di hapuss dataa2 syaa.. pngjuaanngk di terimaa.. jdi hapuss dataa2 syaa. Tkut nya di salahh gunakann,Positif
Ivan Brew (Brew),5,2024-12-31 04:48:38,lancar,Positif
Edy Asmaranto,5,2024-12-31 04:45:51,Proses yang tidak ribet dan pencairan dengan cepat... Terima kasih 🙏 Setelah pembayaran pertama menjelang ke dua saya mencoba apk lain... Tapi yang di rasakan apk easy cash lebih teratur dan beraturan sehingga nyaman untuk saya Semoga berikutnya bisa lancar ajukan lagi di apk easycash ini... Terima kasih 🙏,Positif
Hairul 17,4,2024-12-31 04:38:01,good,Positif
